game_name,game_year,genre,GenerationCatergory
Asteroids,1980,Shooter,Milienum
Missile Command,1980,Shooter,Milienum
Kaboom!,1980,Misc,Milienum
Defender,1980,Misc,Milienum
Boxing,1980,Fighting,Milienum
Ice Hockey,1980,Sports,Milienum
Freeway,1980,Action,Milienum
Bridge,1980,Misc,Milienum
Checkers,1980,Misc,Milienum
Pitfall!,1981,Platform,Milienum
Frogger,1981,Action,Milienum
Demon Attack,1981,Shooter,Milienum
E.T.: The Extra Terrestrial,1981,Action,Milienum
Ms. Pac-Man,1981,Puzzle,Milienum
River Raid,1981,Shooter,Milienum
Donkey Kong,1981,Platform,Milienum
Centipede,1981,Shooter,Milienum
Atlantis,1981,Shooter,Milienum
Megamania,1981,Shooter,Milienum
Cosmic Ark,1981,Shooter,Milienum
Donkey Kong Junior,1981,Platform,Milienum
Spider-Man,1981,Action,Milienum
Custer's Revenge,1981,Action,Milienum
Alien,1981,Action,Milienum
Air Raid,1981,Action,Milienum
Berzerk,1981,Shooter,Milienum
King Kong,1981,Action,Milienum
Adventures of Tron,1981,Action,Milienum
BurgerTime,1981,Puzzle,Milienum
Smurf: Rescue In Gargamel's Castle,1981,Action,Milienum
Raiders of the Lost Ark,1981,Action,Milienum
Grand Prix,1981,Racing,Milienum
Phoenix,1981,Simulation,Milienum
Jawbreaker,1981,Action,Milienum
Barnstorming,1981,Action,Milienum
Mouse Trap,1981,Action,Milienum
Laser Blast,1981,Action,Milienum
Airlock,1981,Action,Milienum
Dragonfire,1981,Action,Milienum
Frogs And Flies,1981,Action,Milienum
Fantastic Voyage,1981,Action,Milienum
Carnival,1981,Shooter,Milienum
Fireball,1981,Action,Milienum
Astroblast,1981,Action,Milienum
Fast Food,1981,Action,Milienum
RealSports Football,1981,Sports,Milienum
Front Line,1981,Action,Milienum
Dark Cavern,1981,Shooter,Milienum
Deadly Duck,1981,Shooter,Milienum
Reactor,1981,Action,Milienum
Crazy Climber,1981,Action,Milienum
RealSports Baseball,1981,Sports,Milienum
International Soccer,1981,Sports,Milienum
Armor Ambush,1981,Action,Milienum
RealSports Volleyball,1981,Sports,Milienum
Pac-Man,1982,Puzzle,Milienum
Dig Dug,1982,Puzzle,Milienum
Mario Bros.,1982,Platform,Milienum
Pole Position,1982,Racing,Milienum
Moon Patrol,1982,Shooter,Milienum
Jungle Hunt,1982,Platform,Milienum
Joust,1982,Platform,Milienum
Enduro,1982,Misc,Milienum
Yars' Revenge,1982,Shooter,Milienum
Galaxian,1982,Shooter,Milienum
Kangaroo,1982,Platform,Milienum
Keystone Kapers,1982,Action,Milienum
X-Man,1982,Action,Milienum
Battlezone,1982,Shooter,Milienum
Halloween,1982,Action,Milienum
Q*bert,1982,Puzzle,Milienum
The Activision Decathlon,1982,Sports,Milienum
Action Force,1982,Action,Milienum
Popeye,1982,Platform,Milienum
Chopper Command,1982,Shooter,Milienum
RealSports Tennis,1982,Sports,Milienum
Gauntlet,1982,Action,Milienum
Congo Bongo,1982,Action,Milienum
Bump 'n' Jump,1982,Racing,Milienum
Gravitar,1982,Action,Milienum
Alien's Return,1982,Action,Milienum
Bank Heist,1982,Action,Milienum
Frankenstein's Monster,1982,Action,Milienum
Mountain King,1982,Action,Milienum
Polaris,1982,Action,Milienum
Mr. Do!,1982,Action,Milienum
Porky's,1982,Action,Milienum
Assault,1982,Action,Milienum
Death Trap,1982,Action,Milienum
Pressure Cooker,1982,Action,Milienum
Krull,1982,Action,Milienum
Baseball,1983,Sports,Milienum
Mario Bros.,1983,Platform,Milienum
Mahjong,1983,Misc,Milienum
Pitfall II: Lost Caverns,1983,Platform,Milienum
Donkey Kong,1983,Platform,Milienum
Donkey Kong Jr.,1983,Platform,Milienum
Popeye,1983,Platform,Milienum
Jr. Pac-Man,1983,Puzzle,Milienum
Crystal Castles,1983,Action,Milienum
Midnight Magic,1983,Action,Milienum
Millipede,1983,Shooter,Milienum
Gremlins,1983,Action,Milienum
Pengo,1983,Adventure,Milienum
Frostbite,1983,Action,Milienum
Frogger II: Threeedeep!,1983,Action,Milienum
Dolphin,1983,Action,Milienum
Mr. Do!'s Castle,1983,Action,Milienum
Duck Hunt,1984,Shooter,Milienum
Excitebike,1984,Racing,Milienum
Golf,1984,Sports,Milienum
Tennis,1984,Sports,Milienum
Pinball,1984,Action,Milienum
F1 Race,1984,Racing,Milienum
Xevious,1984,Shooter,Milienum
4 Nin uchi Mahjong,1984,Misc,Milienum
Hogan's Alley,1984,Shooter,Milienum
Pac-Man,1984,Puzzle,Milienum
Lode Runner,1984,Puzzle,Milienum
Clu Clu Land,1984,Puzzle,Milienum
Mappy,1984,Platform,Milienum
Beamrider,1984,Racing,Milienum
Super Mario Bros.,1985,Platform,Milienum
Kung Fu,1985,Action,Milienum
Soccer,1985,Sports,Milienum
Ice Climber,1985,Platform,Milienum
Gyromite,1985,Puzzle,Milienum
Tag Team Match M.U.S.C.L.E.,1985,Fighting,Milienum
Bomberman,1985,Puzzle,Milienum
1942,1985,Shooter,Milienum
Balloon Fight,1985,Platform,Milienum
Wrecking Crew,1985,Platform,Milienum
Ghostbusters,1985,Puzzle,Milienum
Dig Dug,1985,Puzzle,Milienum
Strongest Tokyo University Shogi DS,1985,Action,Milienum
The Legend of Zelda,1986,Action,Milienum
World Class Track Meet,1986,Sports,Milienum
Metroid,1986,Action,Milienum
Super Mario Bros.: The Lost Levels,1986,Platform,Milienum
Dragon Warrior,1986,Role-Playing,Milienum
Pro Yakyuu Family Stadium,1986,Sports,Milienum
Rad Racer,1986,Racing,Milienum
Kid Icarus,1986,Platform,Milienum
Ghosts 'n Goblins,1986,Action,Milienum
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,1986,Platform,Milienum
Gradius,1986,Shooter,Milienum
Castlevania,1986,Platform,Milienum
TwinBee,1986,Shooter,Milienum
Ganbare Goemon! Karakuri Douchuu,1986,Platform,Milienum
Doraemon,1986,Action,Milienum
Commando,1986,Action,Milienum
Adventure Island,1986,Platform,Milienum
Star Soldier,1986,Shooter,Milienum
The Mysterious Murasame Castle,1986,Action,Milienum
Solaris,1986,Shooter,Milienum
RealSports Boxing,1986,Sports,Milienum
Zelda II: The Adventure of Link,1987,Adventure,Milienum
Mike Tyson's Punch-Out!!,1987,Fighting,Milienum
Dragon Warrior II,1987,Role-Playing,Milienum
Pro Wrestling,1987,Fighting,Milienum
Volleyball,1987,Sports,Milienum
Pro Yakyuu Family Stadium '87,1987,Sports,Milienum
Gegege no Kitarou 2: Youkai Gundan no Chousen,1987,Role-Playing,Milienum
Castlevania II: Simon's Quest,1987,Platform,Milienum
